AID,package name,class token,class name,method type,method token,method name,method signature
A0000000620102,javacard.security,18,ECPrivateKey,virtual,10,setR,void(byte[];short;short)
A0000000620102,javacard.security,18,ECPrivateKey,virtual,11,setK,void(short)
A0000000620102,javacard.security,18,ECPrivateKey,virtual,12,getField,short(byte[];short)
A0000000620102,javacard.security,18,ECPrivateKey,virtual,13,getA,short(byte[];short)
A0000000620102,javacard.security,18,ECPrivateKey,virtual,14,getB,short(byte[];short)
A0000000620102,javacard.security,18,ECPrivateKey,virtual,15,getG,short(byte[];short)
A0000000620102,javacard.security,18,ECPrivateKey,virtual,16,getR,short(byte[];short)
A0000000620102,javacard.security,18,ECPrivateKey,virtual,17,getK,short()
A0000000620102,javacard.security,18,ECPrivateKey,virtual,18,setS,void(byte[];short;short)
A0000000620102,javacard.security,18,ECPrivateKey,virtual,19,getS,short(byte[];short)
A0000000620102,javacard.security,18,ECPrivateKey,virtual,20,copyDomainParametersFrom,void(javacard.security.ECKey)
A0000000620102,javacard.security,19,ECPublicKey,virtual,0,clearKey,void()
A0000000620102,javacard.security,19,ECPublicKey,virtual,1,getSize,short()
A0000000620102,javacard.security,19,ECPublicKey,virtual,2,getType,byte()
A0000000620102,javacard.security,19,ECPublicKey,virtual,3,isInitialized,boolean()
A0000000620102,javacard.security,19,ECPublicKey,virtual,4,setFieldFP,void(byte[];short;short)
A0000000620102,javacard.security,19,ECPublicKey,virtual,5,setFieldF2M,void(short)
A0000000620102,javacard.security,19,ECPublicKey,virtual,6,setFieldF2M,void(short;short;short)
A0000000620102,javacard.security,19,ECPublicKey,virtual,7,setA,void(byte[];short;short)
A0000000620102,javacard.security,19,ECPublicKey,virtual,8,setB,void(byte[];short;short)
A0000000620102,javacard.security,19,ECPublicKey,virtual,9,setG,void(byte[];short;short)
A0000000620102,javacard.security,19,ECPublicKey,virtual,10,setR,void(byte[];short;short)
A0000000620102,javacard.security,19,ECPublicKey,virtual,11,setK,void(short)
A0000000620102,javacard.security,19,ECPublicKey,virtual,12,getField,short(byte[];short)
A0000000620102,javacard.security,19,ECPublicKey,virtual,13,getA,short(byte[];short)
A0000000620102,javacard.security,19,ECPublicKey,virtual,14,getB,short(byte[];short)
A0000000620102,javacard.security,19,ECPublicKey,virtual,15,getG,short(byte[];short)
A0000000620102,javacard.security,19,ECPublicKey,virtual,16,getR,short(byte[];short)
A0000000620102,javacard.security,19,ECPublicKey,virtual,17,getK,short()
A0000000620102,javacard.security,19,ECPublicKey,virtual,18,setW,void(byte[];short;short)
A0000000620102,javacard.security,19,ECPublicKey,virtual,19,getW,short(byte[];short)
A0000000620102,javacard.security,19,ECPublicKey,virtual,20,copyDomainParametersFrom,void(javacard.security.ECKey)
A0000000620102,javacard.security,35,GenericSecretKey,virtual,0,clearKey,void()
A0000000620102,javacard.security,35,GenericSecretKey,virtual,1,getSize,short()
A0000000620102,javacard.security,35,GenericSecretKey,virtual,2,getType,byte()
A0000000620102,javacard.security,35,GenericSecretKey,virtual,3,isInitialized,boolean()
A0000000620102,javacard.security,35,GenericSecretKey,virtual,4,setKey,void(byte[];short;short)
